My Prev,Incoming Shot,Incoming Direction,Opponent Previous,Outgoing Direction,Outgoing Shot,Point Winner,Rally,Serving,Serve,Second Prev,Opponent_2nd,Prev Shot,Surface
3,backhand groundstroke,left,1,right,backhand dropshot,1,3,yes,body,1,3,body,Hard
2,forehand groundstoke,middle,1,right,backhand groundstroke,0,3,yes,down the t,1,2,down the t,Hard
3,backhand groundstroke,left,3,left,backhand groundstroke,1,8,yes,down the t,3,3,backhand groundstroke,Hard
2,forehand groundstoke,middle,1,left,forehand groundstoke,1,4,yes,out wide,1,2,out wide,Hard
2,backhand groundstroke,middle,2,middle,backhand groundstroke,1,10,yes,down the t,3,3,backhand groundstroke,Hard
3,backhand groundstroke,left,2,right,backhand groundstroke,0,7,yes,body,1,2,forehand groundstoke,Hard
3,forehand groundstoke,left,3,middle,backhand groundstroke,1,12,yes,down the t,3,3,backhand groundstroke,Hard
2,backhand groundstroke,middle,3,right,backhand groundstroke,0,5,yes,down the t,3,1,backhand groundstroke,Hard
3,forehand groundstoke,left,2,middle,backhand groundstroke,0,16,yes,down the t,1,3,forehand slice,Hard
5,backhand lob,middle,3,right,forehand volley,1,5,yes,out wide,2,1,forehand groundstoke,Hard
2,backhand groundstroke,middle,3,right,forehand groundstoke,0,9,yes,down the t,2,3,forehand groundstoke,Hard
5,forehand slice,middle,1,left,forehand volley,0,12,yes,out wide,2,1,forehand groundstoke,Hard
4,forehand lob,right,2,left,forehand volley,1,9,yes,body,6,3,backhand half volley,Hard
3,backhand groundstroke,left,1,left,backhand groundstroke,1,4,yes,body,1,3,body,Hard
1,forehand groundstoke,right,3,middle,forehand slice,0,9,yes,out wide,3,3,backhand groundstroke,Hard
2,forehand groundstoke,middle,1,right,backhand groundstroke,1,5,yes,down the t,1,1,forehand groundstoke,Hard
3,forehand groundstoke,left,3,middle,backhand groundstroke,0,6,yes,out wide,2,1,backhand groundstroke,Hard
3,backhand groundstroke,left,3,left,forehand groundstoke,0,10,yes,down the t,2,3,forehand groundstoke,Hard
2,forehand groundstoke,middle,2,left,forehand groundstoke,0,6,yes,down the t,3,1,backhand groundstroke,Hard
1,forehand slice,right,1,middle,forehand groundstoke,1,6,yes,down the t,2,1,forehand groundstoke,Hard
3,backhand groundstroke,left,3,left,backhand groundstroke,1,12,yes,body,3,3,backhand groundstroke,Hard
2,backhand groundstroke,middle,1,left,forehand groundstoke,0,4,yes,out wide,1,2,out wide,Hard
1,forehand groundstoke,right,1,middle,forehand groundstoke,1,10,yes,out wide,3,3,backhand groundstroke,Hard
3,forehand groundstoke,left,1,left,backhand groundstroke,1,4,yes,body,1,3,body,Hard
1,forehand groundstoke,right,1,left,forehand groundstoke,0,5,yes,out wide,2,1,forehand groundstoke,Hard
