My Prev,Incoming Shot,Incoming Direction,Opponent Previous,Outgoing Direction,Outgoing Shot,Point Winner,Rally,Serving,Serve,Second Prev,Opponent_2nd,Prev Shot,Surface
5,forehand slice,middle,1,middle,backhand volley,0,3.0,yes,body,1,5,body,Grass
3,backhand slice,left,1,left,forehand groundstoke,0,4.0,yes,out wide,1,3,out wide,Grass
4,backhand slice,right,1,right,forehand swing volley,0,3.0,yes,down the t,1,4,down the t,Grass
2,forehand slice,middle,1,left,forehand groundstoke,1,3.0,yes,body,1,2,body,Grass
3,backhand groundstroke,left,1,right,backhand groundstroke,1,4.0,yes,out wide,1,3,out wide,Grass
5,backhand slice,middle,1,left,forehand swing volley,1,3.0,yes,down the t,1,5,down the t,Grass
4,forehand slice,right,1,left,forehand swing volley,1,3.0,yes,body,1,4,body,Grass
5,backhand groundstroke,middle,1,right,forehand volley,0,3.0,yes,out wide,1,5,out wide,Grass
2,backhand groundstroke,middle,1,left,forehand groundstoke,0,3.0,yes,body,1,2,body,Grass
5,forehand slice,middle,1,right,backhand volley,0,8.0,yes,body,2,2,forehand groundstoke,Grass
6,backhand slice,left,3,left,backhand volley,0,5.0,yes,out wide,2,1,forehand groundstoke,Grass
5,backhand groundstroke,middle,1,left,backhand volley,0,3.0,yes,out wide,1,5,out wide,Grass
1,backhand groundstroke,right,1,left,forehand groundstoke,0,3.0,yes,down the t,1,1,down the t,Grass
3,backhand groundstroke,left,1,right,forehand groundstoke,0,3.0,yes,out wide,1,3,out wide,Grass
3,backhand slice,left,3,left,forehand groundstoke,1,5.0,yes,out wide,2,1,backhand groundstroke,Grass
1,backhand groundstroke,right,3,right,forehand groundstoke,0,5.0,yes,out wide,3,1,forehand groundstoke,Grass
1,backhand slice,right,1,left,forehand groundstoke,1,3.0,yes,down the t,1,1,down the t,Grass
5,backhand slice,middle,3,right,forehand volley,1,6.0,yes,body,2,1,forehand groundstoke,Grass
2,backhand groundstroke,middle,1,right,forehand groundstoke,1,4.0,yes,body,1,2,body,Grass
5,backhand groundstroke,middle,1,right,forehand swing volley,1,4.0,yes,down the t,1,5,down the t,Grass
5,backhand groundstroke,middle,1,middle,backhand volley,0,3.0,yes,down the t,1,5,down the t,Grass
2,forehand groundstoke,middle,1,left,forehand groundstoke,1,4.0,yes,down the t,1,2,down the t,Grass
2,backhand slice,middle,1,left,forehand groundstoke,0,3.0,yes,body,1,2,body,Grass
3,forehand slice,left,1,right,forehand groundstoke,1,4.0,yes,down the t,1,3,down the t,Grass
4,backhand groundstroke,right,3,right,forehand volley,1,13.0,yes,down the t,1,1,forehand dropshot,Grass
2,backhand groundstroke,middle,1,right,forehand groundstoke,1,4.0,yes,down the t,1,2,down the t,Grass
